,cik,sic,sic_description,company_name,ticker
281,0001102112,6021,NATIONAL COMMERCIAL BANKS,PACWEST BANCORP,PACW
282,0001102266,6021,NATIONAL COMMERCIAL BANKS,CenterState Bank Corp,CSFL
283,0001102287,6021,NATIONAL COMMERCIAL BANKS,PREMIERWEST BANCORP,PRWT
284,0001107160,6021,NATIONAL COMMERCIAL BANKS,HARLEYSVILLE SAVINGS FINANCIAL CORP,HARL
285,0001108236,6022,STATE COMMERCIAL BANKS,AMERICAN RIVER BANKSHARES,AMRB
286,0001109242,6021,NATIONAL COMMERCIAL BANKS,HANMI FINANCIAL CORP,HAFC
287,0001109525,6021,NATIONAL COMMERCIAL BANKS,BANCORP RHODE ISLAND INC,BARI
288,0001109546,6021,NATIONAL COMMERCIAL BANKS,PACIFIC MERCANTILE BANCORP,PMBC
289,0001115055,6021,NATIONAL COMMERCIAL BANKS,PINNACLE FINANCIAL PARTNERS INC,PNFP
290,0001118237,6021,NATIONAL COMMERCIAL BANKS,MBT FINANCIAL CORP,MBTF
291,0001127160,6022,STATE COMMERCIAL BANKS,CAROLINA BANK HOLDINGS INC,CLBH
292,0001127371,6022,STATE COMMERCIAL BANKS,CENTRAL VALLEY COMMUNITY BANCORP,CVCY
293,0001128361,6021,NATIONAL COMMERCIAL BANKS,HOPE BANCORP INC,
294,0001130144,6022,STATE COMMERCIAL BANKS,SIERRA BANCORP,BSRR
295,0001132651,6021,NATIONAL COMMERCIAL BANKS,AMES NATIONAL CORP,ATLO
296,0001137547,6021,NATIONAL COMMERCIAL BANKS,UNITED SECURITY BANCSHARES,UBFO
297,0001138817,6021,NATIONAL COMMERCIAL BANKS,FIRST SECURITY GROUP INC/TN,FSGI
298,0001139812,6021,NATIONAL COMMERCIAL BANKS,MB FINANCIAL INC /MD,MBFI
299,0001141688,6021,NATIONAL COMMERCIAL BANKS,LANDMARK BANCORP INC,LARK
300,0001141807,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",1ST CONSTITUTION BANCORP,FCCY
301,0001143155,6021,NATIONAL COMMERCIAL BANKS,"Xenith Bankshares, Inc.",
302,0001143921,6022,STATE COMMERCIAL BANKS,"VANTAGESOUTH BANCSHARES, INC.",
303,0001159427,6022,STATE COMMERCIAL BANKS,SOUTHERN COMMUNITY FINANCIAL CORP,SCMF
304,0001163370,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",NORTHRIM BANCORP INC,NRIM
305,0001166928,6022,STATE COMMERCIAL BANKS,WEST BANCORPORATION INC,WTBA
306,0001168455,6153,SHORT-TERM BUSINESS CREDIT INSTITUTIONS,PLUMAS BANCORP,PLBC
307,0001169770,6021,NATIONAL COMMERCIAL BANKS,"BANC OF CALIFORNIA, INC.",BANC
308,0001171825,6021,NATIONAL COMMERCIAL BANKS,CIT GROUP INC,CIT
309,0001174820,6022,STATE COMMERCIAL BANKS,CENTER FINANCIAL CORP,CLFC
310,0001176316,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",ACCESS NATIONAL CORP,ANCX
311,0001178409,6021,NATIONAL COMMERCIAL BANKS,TIDELANDS BANCSHARES INC,TDBK
312,0001178970,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",PROVIDENT FINANCIAL SERVICES INC,PFS
313,0001181001,6021,NATIONAL COMMERCIAL BANKS,ALLIANCE BANKSHARES CORP,ABVA
314,0001189396,6022,STATE COMMERCIAL BANKS,SOMERSET HILLS BANCORP,SOMH
315,0001210227,6021,NATIONAL COMMERCIAL BANKS,BNC BANCORP,BNCN
316,0001212545,6022,STATE COMMERCIAL BANKS,WESTERN ALLIANCE BANCORPORATION,WAL
317,0001222915,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",JEFFERSON BANCSHARES INC,JFBI
318,0001228454,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BCB BANCORP INC,BCBP
319,0001253317,6022,STATE COMMERCIAL BANKS,OLD LINE BANCSHARES INC,OLBK
320,0001260968,6022,STATE COMMERCIAL BANKS,MARLIN BUSINESS SERVICES CORP,MRLN
321,0001263762,6022,STATE COMMERCIAL BANKS,"SELECT BANCORP, INC.",NCBC
322,0001264755,6021,NATIONAL COMMERCIAL BANKS,NEWALLIANCE BANCSHARES INC,NAL
323,0001265131,6022,STATE COMMERCIAL BANKS,Hilltop Holdings Inc.,HTH
324,0001281761,6021,NATIONAL COMMERCIAL BANKS,REGIONS FINANCIAL CORP,RF
325,0001285224,6022,STATE COMMERCIAL BANKS,WILSHIRE BANCORP INC,WIBC
326,0001288855,6021,NATIONAL COMMERCIAL BANKS,"OptimumBank Holdings, Inc.",OPHC
327,0001289701,6021,NATIONAL COMMERCIAL BANKS,"Mercantile Bancorp, Inc.",
328,0001290476,6022,STATE COMMERCIAL BANKS,Village Bank & Trust Financial Corp.,VBFC
329,0001295401,6021,NATIONAL COMMERCIAL BANKS,"Bancorp, Inc.",
330,0001302324,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",PRUDENTIAL BANCORP INC OF PENNSYLVANIA,PBIP
331,0001304740,6021,NATIONAL COMMERCIAL BANKS,Bridge Capital Holdings,BBNK
332,0001315399,6022,STATE COMMERCIAL BANKS,"PARKE BANCORP, INC.",PKBK
333,0001319327,6021,NATIONAL COMMERCIAL BANKS,Encore Bancshares Inc,EBTX
334,0001323033,6022,STATE COMMERCIAL BANKS,"Tennessee Commerce Bancorp, Inc.",TNCC
335,0001323648,6022,STATE COMMERCIAL BANKS,Community Bankers Trust Corp,
336,0001324410,6022,STATE COMMERCIAL BANKS,Guaranty Bancorp,GBNK
337,0001325670,6022,STATE COMMERCIAL BANKS,Southern National Bancorp of Virginia Inc,SONA
338,0001326807,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",Investors Bancorp Inc,ISBC
339,0001329517,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",WATERSTONE FINANCIAL INC,WSBF
340,0001331520,6022,STATE COMMERCIAL BANKS,HOME BANCSHARES INC,HOMB
341,0001337068,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","Magyar Bancorp, Inc.",MGYR
342,0001343034,6022,STATE COMMERCIAL BANKS,TWO RIVER BANCORP,
343,0001355786,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","CHICOPEE BANCORP, INC.",
344,0001358356,6021,NATIONAL COMMERCIAL BANKS,"LIMESTONE BANCORP, INC.",
345,0001364856,6022,STATE COMMERCIAL BANKS,"Monarch Financial Holdings, Inc.",MNRK
346,0001365997,6021,NATIONAL COMMERCIAL BANKS,Bank of the Carolinas CORP,BCAR
347,0001366367,6022,STATE COMMERCIAL BANKS,YADKIN FINANCIAL Corp,
348,0001370291,6022,STATE COMMERCIAL BANKS,"First California Financial Group, Inc.",FCAL
349,0001373525,6022,STATE COMMERCIAL BANKS,"FIRST CAPITAL BANCORP, INC.",
350,0001375320,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Hampden Bancorp, Inc.",HBNK
351,0001378946,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","People's United Financial, Inc.",PBCT
352,0001390312,6022,STATE COMMERCIAL BANKS,"Bancorp of New Jersey, Inc.",BKJ
353,0001390777,6022,STATE COMMERCIAL BANKS,Bank of New York Mellon Corp,BK
354,0001391137,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BCSB Bancorp Inc.,
355,0001393612,6141,PERSONAL CREDIT INSTITUTIONS,Discover Financial Services,DFS
356,0001399315,6022,STATE COMMERCIAL BANKS,MARSHALL & ILSLEY CORP,MI
357,0001403475,6022,STATE COMMERCIAL BANKS,Bank of Marin Bancorp,BMRC
358,0001411974,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",MERIDIAN INTERSTATE BANCORP INC,EBSB
359,0001412665,6022,STATE COMMERCIAL BANKS,"MidWestOne Financial Group, Inc.",MOFG
360,0001413440,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","Home Federal Bancorp, Inc.",
361,0001415277,6022,STATE COMMERCIAL BANKS,"1st United Bancorp, Inc.",FUBC
362,0001431567,6022,STATE COMMERCIAL BANKS,Oak Valley Bancorp,OVLY
363,0001448301,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",Anchor Bancorp,ANCB
364,0001448324,6021,NATIONAL COMMERCIAL BANKS,Cornerstone Financial Corp,
365,0001487052,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","LegacyTexas Financial Group, Inc.",LTXB
366,0001497275,6022,STATE COMMERCIAL BANKS,STATE BANK FINANCIAL CORP,STBZ
367,0001501364,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","United Financial Bancorp, Inc.",UBNK
368,0001504008,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","BankUnited, Inc.",BKU
369,0001507277,6022,STATE COMMERCIAL BANKS,Park Sterling Corp,PSTB
370,0001511198,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","First Connecticut Bancorp, Inc.",FBNK
